FID,lon,lat,Vs30,Z1(m),2s_Amp,3s_Amp,5s_Amp,10s_Amp
84,-117.562,34.005,335,320,0.2457,-0.0389,-0.2203,-0.2850
85,-118.905,34.281,356,320,0.4920,0.4070,0.1982,0.1822
86,-117.173,33.921,338,-999,-0.3908,-0.4485,-0.4320,-0.3129
87,-117.234,33.902,308,-999,-0.6400,-0.6668,-0.6221,-0.4519
88,-117.252,33.968,415,-999,-0.3086,-0.3349,-0.3616,-0.2838
89,-118.058,34.224,760,-999,-0.1627,-0.1694,-0.1442,-0.1247
90,-117.659,34.239,500,-999,-0.0407,-0.0177,-0.0027,-0.0489
91,-118.533,34.387,269,420,0.7112,0.7053,0.6538,0.4915
92,-117.902,33.634,340,320,-0.1273,-0.0487,0.1201,0.1370
93,-117.906,33.604,278,320,-0.1640,-0.0956,0.0842,0.1117
94,-118.360,34.176,290,340,0.5041,0.5994,0.3473,0.0950
95,-118.558,34.229,292,340,0.4824,0.5760,0.5367,0.3520
96,-117.924,33.945,415,420,0.7206,0.8509,0.7842,0.4833
97,-117.803,33.927,378,320,0.3722,0.4658,0.4603,0.2059
98,-117.844,33.788,318,320,0.3959,0.4847,0.5141,0.2814
99,-118.724,34.614,417,320,0.2663,0.0211,-0.1638,0.0173
100,-118.375,34.296,508,320,0.4362,0.4294,0.3425,0.2114
101,-117.638,34.121,389,320,0.4355,0.1868,0.0509,-0.0859
102,-118.114,34.578,453,-999,-0.1039,-0.1030,-0.0972,-0.0993
103,-117.805,34.393,488,-999,-0.0427,-0.0246,-0.0434,-0.0858
104,-118.582,34.442,472,320,0.8790,0.8193,0.6944,0.5178
105,-118.171,34.148,640,20,0.3862,0.2269,0.0419,-0.0418
106,-117.230,33.787,518,-999,-0.9314,-0.9920,-0.8965,-0.6542
107,-117.544,34.425,403,-999,0.1442,0.0994,0.1188,0.0131
108,-118.077,34.002,261,520,0.8290,0.9637,0.9723,0.6847
109,-118.437,33.963,402,520,0.4446,0.5975,0.7850,0.6423
110,-117.609,33.795,699,-999,-0.5845,-0.5032,-0.4095,-0.3399
111,-117.748,34.056,384,320,0.3817,0.3451,0.1666,-0.0217
112,-117.807,34.092,463,320,0.2627,0.2499,0.1456,0.0016
113,-118.498,34.396,395,340,0.6874,0.6494,0.5775,0.4187
114,-117.540,34.123,380,320,0.3786,0.1070,-0.0142,-0.1170
115,-117.574,34.104,390,320,0.4935,0.1498,-0.0249,-0.1462
116,-118.404,33.743,530,-999,-0.6605,-0.5301,-0.3978,-0.3258
117,-118.335,33.740,509,-999,-0.1999,-0.1110,-0.1045,-0.1982
118,-117.224,34.005,488,320,0.0566,-0.0294,-0.0857,-0.1132
119,-118.510,34.193,287,320,0.2894,0.3695,0.3259,0.2010
120,-117.398,34.069,325,320,0.3604,0.1127,-0.1092,-0.1684
121,-118.478,34.281,282,320,0.6687,0.7721,0.7775,0.5651
122,-117.980,34.105,372,360,0.6866,0.6918,0.6614,0.3417
123,-117.376,33.994,356,320,0.0331,-0.2071,-0.3762,-0.3386
124,-117.488,33.919,335,320,-0.3523,-0.4373,-0.4819,-0.4183
125,-117.388,33.951,323,320,-0.2145,-0.3996,-0.5114,-0.4288
126,-117.443,33.917,333,320,-0.3782,-0.4821,-0.5431,-0.4552
127,-117.344,33.979,341,320,-0.0423,-0.2362,-0.3838,-0.3334
128,-117.486,33.975,330,320,-0.1480,-0.3339,-0.4452,-0.4048
129,-117.320,33.895,582,-999,-0.6189,-0.6614,-0.6613,-0.5047
130,-117.446,33.951,390,320,-0.2332,-0.4033,-0.5053,-0.4372
131,-117.327,33.973,360,320,-0.1126,-0.2706,-0.3976,-0.3374
132,-117.327,33.973,360,320,-0.1126,-0.2706,-0.3976,-0.3374
133,-118.356,33.787,473,320,0.0285,0.1514,0.3730,0.0872
134,-118.081,34.051,279,460,0.8395,0.8925,0.8296,0.4980
135,-118.646,34.059,750,-999,-0.2656,-0.2785,-0.3854,-0.3024
136,-117.662,33.553,421,-999,-0.4914,-0.5327,-0.4218,-0.3945
137,-117.251,34.166,643,20,0.2652,0.2038,0.1733,0.0396
