FID,longitude,latitude,Vs30,EAF1,EAF2,EAF3,EAF4,EAF5,2sec_Amplification,3sec_Amplification,5sec_Amplification,10sec_Amplification,StationNam,
46,-118.498,34.313,526,2.692839058,2.44096877,3.043394787,2.916245441,2.38227743,0.587037861,0.690331399,0.690578818,0.535217762,JensenFilterPlantGeneratorBuilding,
47,-117.879,33.597,390,1.020843054,1.499991853,1.27404091,1.143032944,1.271798246,-0.274043232,-0.221350163,-0.051950432,0.000341897,KerckhoffMarineLaboratory,
48,-118.102,34.15,383,2.515135112,2.424829136,2.615555568,2.256787167,2.240693483,0.487479568,0.342613757,0.190937832,0.045339022,Kinemetrics,
49,-118.26,33.929,301,2.854522651,3.120677902,2.900149561,2.976370123,2.259006514,0.680798531,0.844259262,1.053114653,1.042107224,LA-116thStSchool,
50,-118.171,34.053,365,2.751726951,2.381415473,2.523261768,3.124502235,0,0.776870966,0.758777797,0.647769868,0.41098991,LA-CityTerrace,
51,-118.299,34.118,1016,1.672791138,1.262282346,1.079905325,1.037200178,0,0.378913432,0.282293081,0.115306035,0.032944091,LA-GriffithParkObservatory,
52,-118.178,34.037,349,4.523806827,3.927114895,3.152371955,4.129822244,4.439669564,0.767308235,0.798758328,0.757941306,0.538766325,LA-ObregonPark,
53,-118.246,34.059,452,2.049065186,2.226717655,1.927021822,2.665452003,0,0.693363309,0.694322407,0.585077167,0.37257424,LA-TempleHope,
54,-118.378,34,396,2.309967407,2.955599097,3.55978926,3.774750097,3.225889139,0.644628882,0.782096803,0.931180418,0.761867404,LaCienega,
55,-118.331,33.869,257,3.904874006,4.271694149,5.147504474,5.145057438,4.630820266,0.414241761,0.560276687,0.899475157,0.73446101,LaFresa,
56,-117.955,33.932,332,3.169595768,2.576245801,2.485708407,1.9314859,1.800428547,0.750393629,0.928409398,0.921678185,0.638549149,LaHabra-LaHabraMonteVista,
57,-118.149,33.975,273,2.475396377,3.115570367,3.318057484,3.073289985,2.749833309,0.762085557,0.927810311,1.041790962,0.929051995,LagunaBell,
58,-119.066,34.108,419,1.029793237,1.054160258,0.980960746,0.935935931,0.805688347,-0.20131436,-0.119155124,-0.137492329,-0.223982558,LagunaPeak,
59,-117.332,33.669,581,0.814919132,1.063519917,1.166882279,1.330817901,0,-0.883899629,-0.86825037,-0.892828166,-0.697295487,LakeElsinore-GrahamPoe,
60,-118.43,34.674,425,3.152968312,2.0080854,1.518766055,0.992608442,0.903134712,-0.168005854,-0.172978282,-0.162616044,-0.05658422,LakeHughes#1,
